 
****************************************
Report : area
Design : adder_structure_reg
Version: V-2023.12
Date   : Thu Oct  3 15:30:07 2024
****************************************

Library(s) Used:

    N16ADFP_StdCellss0p72vm40c_ccs (File: /cad/CBDK/ADFP/Executable_Package/Collaterals/IP/stdcell/N16ADFP_StdCell/CCS/N16ADFP_StdCellss0p72vm40c_ccs.db)

Number of ports:                          358
Number of nets:                           577
Number of cells:                          317
Number of combinational cells:            219
Number of sequential cells:                33
Number of macros/black boxes:               0
Number of buf/inv:                        119
Number of references:                      65

Combinational area:                 94.970882
Buf/Inv area:                       30.533761
Noncombinational area:              30.792960
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                   125.763843
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area          Local cell area
                                  ------------------  --------------------------- 
Hierarchical cell                 Absolute   Percent  Combi-    Noncombi-  Black-
                                  Total      Total    national  national   boxes   Design
--------------------------------  ---------  -------  --------  ---------  ------  ---------
adder_structure_reg                125.7638    100.0    0.0000     0.0000  0.0000  adder_structure_reg
ff_co                                0.9331      0.7    0.0000     0.9331  0.0000  D_FF_1
generate_block2_0__ff_sum            0.9331      0.7    0.0000     0.9331  0.0000  D_FF_0
generate_block2_10__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_23
generate_block2_11__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_22
generate_block2_12__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_21
generate_block2_13__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_20
generate_block2_14__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_19
generate_block2_15__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_18
generate_block2_16__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_17
generate_block2_17__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_16
generate_block2_18__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_15
generate_block2_19__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_14
generate_block2_1__ff_sum            0.9331      0.7    0.0000     0.9331  0.0000  D_FF_32
generate_block2_20__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_13
generate_block2_21__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_12
generate_block2_22__ff_sum           0.9331      0.7    0.0000     0.9331  0.0000  D_FF_11
